City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Manaure,CO,2020-06-19 02:26:36,11.78,-72.44,82.99,69,7,22.01
155,Geraldton,AU,2020-06-19 02:26:37,-28.77,114.6,59.0,67,0,17.22
156,Lebu,CL,2020-06-19 02:26:37,-37.62,-73.65,53.58,86,67,11.32
157,Guiratinga,BR,2020-06-19 02:26:37,-16.35,-53.76,68.61,70,27,5.84
158,Jamestown,US,2020-06-19 02:26:38,42.1,-79.24,71.6,53,1,4.7
159,Hasaki,JP,2020-06-19 02:26:38,35.73,140.83,68.0,94,75,10.29
160,Barroso,BR,2020-06-19 02:26:38,-21.19,-43.98,52.7,88,54,1.88
161,Laguna,US,2020-06-19 02:26:38,38.42,-121.42,93.99,9,1,5.82
162,La Ronge,CA,2020-06-19 02:26:38,55.1,-105.28,50.0,61,90,3.36
163,Coquimbo,CL,2020-06-19 02:26:38,-29.95,-71.34,53.6,81,100,9.17
164,Vardo,NO,2020-06-19 02:26:39,70.37,31.11,44.85,77,82,22.66
165,Bengkulu,ID,2020-06-19 02:25:07,-3.8,102.27,80.33,77,100,2.98
166,Suntar,RU,2020-06-19 02:25:32,62.14,117.63,66.31,58,77,3.44
167,Caravelas,BR,2020-06-19 02:26:40,-17.71,-39.25,72.28,90,17,8.72
168,Santo Antonio Do Ica,BR,2020-06-19 02:26:40,-3.1,-67.94,73.74,95,62,0.67
169,Villa Maria,AR,2020-06-19 02:26:40,-32.41,-63.24,48.0,74,51,5.99
170,Listvyanskiy,RU,2020-06-19 02:26:40,54.44,83.5,53.26,94,100,11.01
171,Beringovskiy,RU,2020-06-19 02:26:40,63.05,179.32,51.04,54,4,4.14
172,Vostok,RU,2020-06-19 02:26:41,46.49,135.88,56.57,81,92,4.56
173,Victoria,HK,2020-06-19 02:23:03,22.29,114.16,91.0,66,66,10.0
174,Te Anau,NZ,2020-06-19 02:26:41,-45.42,167.72,44.87,60,0,0.89
175,Vallenar,CL,2020-06-19 02:26:41,-28.57,-70.76,62.8,29,100,1.07
176,Kavaratti,IN,2020-06-19 02:22:25,10.57,72.64,84.7,79,100,17.74
177,Tanout,NE,2020-06-19 02:26:42,14.97,8.89,89.08,36,36,6.91
178,Shablykino,RU,2020-06-19 02:26:42,52.86,35.2,64.62,93,100,5.86
179,Lesosibirsk,RU,2020-06-19 02:26:42,58.24,92.48,55.99,97,100,3.83
180,Vao,NC,2020-06-19 02:26:42,-22.67,167.48,71.71,80,55,16.71
181,Voerde,DE,2020-06-19 02:26:43,51.6,6.68,61.0,92,0,5.19
182,Sovetskaya Gavan,RU,2020-06-19 02:26:43,48.97,140.29,46.94,96,100,7.65
183,Qaanaaq,GL,2020-06-19 02:26:43,77.48,-69.36,30.25,93,0,2.62
184,Labytnangi,RU,2020-06-19 02:22:44,66.66,66.42,42.84,61,25,6.35
185,Kahului,US,2020-06-19 02:23:49,20.89,-156.47,86.0,51,40,28.86
186,Pokhara,NP,2020-06-19 02:26:44,28.23,83.98,71.6,86,100,3.27
187,Clyde River,CA,2020-06-19 02:26:44,70.47,-68.59,32.0,92,90,10.29
188,Constitucion,CL,2020-06-19 02:26:16,-35.33,-72.42,56.1,94,100,22.08
189,Katherine,AU,2020-06-19 02:26:44,-14.47,132.27,86.0,37,0,14.99
190,Poronaysk,RU,2020-06-19 02:26:44,49.22,143.12,47.28,93,100,9.31
191,Madimba,TZ,2020-06-19 02:26:45,-10.4,40.33,71.44,81,19,12.95
192,Songjianghe,CN,2020-06-19 02:26:45,42.19,127.48,73.42,44,0,4.81
193,Bayan,CN,2020-06-19 02:26:45,46.08,127.4,69.28,56,36,12.24
194,Bandarbeyla,SO,2020-06-19 02:26:45,9.49,50.81,81.52,61,38,25.55
195,Leningradskiy,RU,2020-06-19 02:26:46,69.38,178.42,45.66,59,0,7.74
196,Kailua,US,2020-06-19 02:26:46,21.4,-157.74,93.2,44,90,12.75
197,Rosetta,EG,2020-06-19 02:26:46,31.4,30.42,71.6,83,40,11.41
198,Sechura,PE,2020-06-19 02:25:11,-5.56,-80.82,66.88,76,17,13.71
199,Roma,US,2020-06-19 02:23:27,43.21,-75.46,66.99,88,1,3.36
200,Tifton,US,2020-06-19 02:26:47,31.45,-83.51,75.99,78,1,1.01
