City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Guerrero Negro,MX,72.18,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
499,Kakching,IN,70.2,overcast clouds,24.48,93.98,Dorendro Yengkhom's Home
502,Orchard Homes,US,75.0,few clouds,46.86,-114.05,Broadway Inn Missoula
503,Ndjole,GA,75.58,broken clouds,-0.18,10.76,Motel Kedyann
506,Nouadhibou,MR,73.4,sand,20.93,-17.03,El Medina
511,Moen,NO,69.8,few clouds,69.13,18.61,Haraldvollen Senter
512,Gien,FR,66.99,few clouds,47.69,2.63,Villa Hôtel
515,Chifeng,CN,67.91,overcast clouds,42.27,118.96,Junyu Tiancheng Hotel
519,Puerto Del Rosario,ES,75.2,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
520,Atikokan,CA,71.44,scattered clouds,48.76,-91.62,Camp Quetico
522,Mehran,IR,68.0,clear sky,33.12,46.16,زائرسرای نور
524,Cody,US,73.0,light rain,44.53,-109.06,Buffalo Bill (Cabins) Village
527,Deputatskiy,RU,77.0,clear sky,69.3,139.9,Baza Otdykha
531,Miles City,US,75.2,overcast clouds,46.41,-105.84,FairBridge Inn & Suites Miles City
533,Ibanda,TZ,77.0,scattered clouds,-2.8,32.47,Lahe Hotel Mwanza
536,Kirkuk,IQ,79.75,scattered clouds,35.47,44.39,فندق التأميم
538,Constantine,DZ,69.8,few clouds,36.37,6.61,Grand Hotel Cirta
544,Dicabisagan,PH,79.92,broken clouds,17.08,122.42,
545,Inhambane,MZ,65.59,clear sky,-23.86,35.38,Oceano
549,Moose Factory,CA,66.2,overcast clouds,51.26,-80.61,Cree Village Eco Lodge
551,Pogar,RU,65.55,overcast clouds,52.55,33.26,"Отель ""Пати"""
554,Fort Nelson,CA,68.0,broken clouds,58.81,-122.7,The Fort Nelson Hotel
555,Masyaf,SY,69.8,clear sky,35.07,36.34,Hotel restaurants and tourist Misyaf
556,Quatre Cocos,MU,72.0,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
558,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
561,Innisfail,AU,65.23,scattered clouds,-17.53,146.03,Moondarra Motel
562,Portland,US,72.0,overcast clouds,45.52,-122.68,Portland Marriott City Center
563,North Bend,US,68.0,overcast clouds,43.41,-124.22,Red Lion Hotel Coos Bay
564,Raposa,BR,78.69,few clouds,-6.52,-44.18,Hotel Veloso
565,Surt,LY,71.67,clear sky,31.21,16.59,City Hotel
